Original Text,True Label,Predicted Label,Confidence Score
โดนแกล้งที่โรงเรียน,social,academic,0.513587592528548
เรียนหนักจนเหนื่อย,academic,health,0.398090395780999
ต้องประหยัดทุกอย่าง,financial,health,0.336689999333917
รู้สึกไม่แข็งแรงเลย,health,self_esteem,0.282065246828762
แมวที่บ้านน่ารักมาก,none,family,0.6592056772159121
รู้สึกโดดเดี่ยว,social,family,0.19040963574754569
หนี้,financial,none,0.36395495945327055
กลัวโดนไล่ออก,work,relationship,0.28404975421845957
มีปัญหาเรื่องเงินในครอบครัว,family,financial,0.47423010120671805
ทะเลาะกันทุกวัน,relationship,family,0.49937428359673575
รู้สึกแพ้คนอื่นตลอด,self_esteem,social,0.4993916660902026
โดนทวงหนี้,financial,relationship,0.25576020798843385
กินข้าวไม่ลง,health,none,0.5347257356762538
การบ้านกองเต็มไปหมด,academic,work,0.39959706041598003
รู้สึกด้อยกว่าคนอื่น,self_esteem,social,0.4003905657325516
รู้สึกไม่มั่นคงเรื่องงาน,work,self_esteem,0.38901038342844185
เงินเดือนน้อยเกินไป,work,financial,0.6943680638148597
พักผ่อนยังไงก็ไม่ดีขึ้น,health,social,0.2414123749653712
โดนเปรียบเทียบกับคนอื่น,family,social,0.5132340879819814
วันนี้เหนื่อยนิดหน่อย,none,health,0.37227936423966507
