text,label
เครียดมาก,stress
เครียดสุดๆ,stress
เครียดเรื่องเรียน,stress
กังวลไปหมด,stress
คิดมากตลอดเวลา,stress
นอนไม่หลับเพราะเครียด,stress
เหนื่อยใจมาก,stress
รู้สึกกดดัน,stress
เครียดเรื่องอนาคต,stress
ทำอะไรไม่ทันเลยเครียด,stress
งานเยอะมากจนหัวหมุน,stress
กังวลเรื่องเงินไม่พอใช้,stress
คิดมากจนปวดหัวทุกวัน,stress
เครียดกับครอบครัวมาก,stress
มีปัญหากับเพื่อนจนเครียด,stress
ความเครียดสะสมเต็มไปหมด,stress
รู้สึกตึงเครียดทั้งวัน,stress
ไม่มีเวลาพักผ่อนเลย,stress
ทุกอย่างดูน่ากดดันไปหมด,stress
ไม่รู้จะจัดการชีวิตยังไงดี,stress
หมดไฟกับงานมากตอนนี้,stress
ไม่อยากตื่นมาเจออะไรอีกแล้ว,stress
สมองตื้อไปหมดเลย,stress
แบกรับความคาดหวังไม่ไหวแล้ว,stress
กังวลจนมือสั่น,stress
รู้สึกเหมือนโดนบีบตลอดเวลา,stress
ชีวิตมันยากเกินไป,stress
เครียดจนอยากร้องไห้,stress
จัดลำดับความสำคัญไม่ถูกเลย,stress
วิตกกับอนาคตตลอดเวลา,stress
กลัวทำงานพลาด,stress
พยายามแค่ไหนก็รู้สึกไม่พอ,stress
เครียดจนปวดท้อง,stress
รู้สึกโดดเดี่ยวมาก,stress
เบื่อทุกอย่างรอบตัว,stress
คิดเรื่องเดิมซ้ำๆไม่หยุด,stress
กดดันจนกินข้าวไม่ลง,stress
ใจสั่นทุกครั้งที่งานเข้า,stress
รู้สึกล้มเหลวในชีวิต,stress
ไม่อยากคุยกับใครเลย,stress
กังวลสายตาคนอื่นตลอด,stress
ภาระเยอะจนเหนื่อย,stress
อึดอัดจนหายใจไม่ทั่วท้อง,stress
ชีวิตวุ่นวายเกินควบคุม,stress
กลัวตกงานมาก,stress
เครียดเรื่องหนี้สิน,stress
ทะเลาะกับแฟนจนปวดหัว,stress
สภาพจิตใจแย่มากช่วงนี้,stress
ไม่มีความสุขกับชีวิตตอนนี้,stress
รู้สึกเหมือนโดนเร่งตลอดเวลา,stress
เครียดเพราะเปรียบเทียบตัวเองกับคนอื่น,stress
นอนคิดมากทุกคืน,stress
กังวลเรื่องสุขภาพตัวเองมาก,stress
ทำงานหนักแต่ไม่เห็นผลเลย,stress
เครียดจนระบบร่างกายรวน,stress
จิตตกหนักมากช่วงนี้,stress
อยากอยู่คนเดียวเงียบๆ,stress
เครียดจนไม่มีสมาธิ,stress
เหมือนจะระเบิดอารมณ์ได้ทุกเมื่อ,stress
กังวลเรื่องสัมภาษณ์งานมาก,stress
เครียดกับโปรเจกต์ที่ทำอยู่,stress
งานกองเต็มไปหมดจนไม่รู้จะเริ่มตรงไหน,stress
กดดันจากคะแนนสอบมาก,stress
เครียดเพราะโดนเร่งงานทุกวัน,stress
รู้สึกว่าชีวิตไม่มีสมดุลเลย,stress
ตื่นมาก็เครียดแล้ว,stress
พักผ่อนยังไงก็ไม่หายเหนื่อย,stress
คิดเรื่องอนาคตจนหลับไม่ลง,stress
กลัวว่าจะทำให้ทุกคนผิดหวัง,stress
รู้สึกแบกรับทุกอย่างไว้คนเดียว,stress
เครียดจนร้องไห้กลางดึก,stress
ไม่รู้จะปรึกษาใครดี,stress
กังวลเรื่องค่าใช้จ่ายตลอดเวลา,stress
ทำอะไรพลาดนิดเดียวก็เครียด,stress
โดนคาดหวังมากจนเหนื่อยใจ,stress
หัวจะระเบิดเพราะงานเยอะ,stress
รู้สึกเหมือนพักไม่ได้เลย,stress
เครียดจนไม่อยากออกจากห้อง,stress
ไม่มีแรงทำอะไรเลยช่วงนี้,stress
ยิ่งคิดยิ่งเครียด,stress
กลัวอนาคตที่ยังมาไม่ถึง,stress
เครียดจนกินไม่ได้นอนไม่หลับ,stress
ทุกอย่างดูหนักไปหมด,stress
ชีวิตตอนนี้เต็มไปด้วยแรงกดดัน,stress
เครียดกับเรื่องเรียนและงานพร้อมกัน,stress
สมองไม่หยุดคิดเลย,stress
รู้สึกเหนื่อยล้าทางจิตใจมาก,stress
เครียดจนปวดคอปวดไหล่,stress
ทำไมปัญหามันเยอะขนาดนี้,stress
รู้สึกถูกความเครียดครอบงำ,stress
ไม่มีอะไรทำให้สบายใจเลย,stress
ใจไม่สงบเลยช่วงนี้,stress
คิดมากจนไม่มีแรง,stress
เครียดกับการใช้ชีวิตประจำวัน,stress
กลัวว่าจะไม่ประสบความสำเร็จ,stress
กังวลเรื่องอนาคตการงาน,stress
งานถาโถมเข้ามาไม่หยุด,stress
รู้สึกกดดันจากคนรอบตัว,stress
เครียดจนอยากหายไปสักพัก,stress
พักผ่อนเท่าไหร่ก็ยังเครียด,stress
เครียดจนปวดไมเกรน,stress
เหมือนมีเรื่องให้คิดตลอดเวลา,stress
ทุกวันเต็มไปด้วยความกังวล,stress
ไม่รู้จะเริ่มแก้ปัญหาจากตรงไหน,stress
รู้สึกอ่อนล้าทั้งใจและร่างกาย,stress
กังวลจนไม่มีสมาธิเรียน,stress
เครียดจนหงุดหงิดง่าย,stress
