text,label
อยากมีคนรับฟัง,listener
ขอคนคุยหน่อย,listener
อยากระบาย,listener
มีใครฟังเราไหม,listener
อยากเล่าให้ใครสักคนฟัง,listener
ขอพื้นที่ระบายหน่อย,listener
อยากคุยกับใครสักคน,listener
ช่วยฟังหน่อยได้ไหม,listener
อยากมีคนอยู่ข้างๆ,listener
แค่อยากให้มีคนเข้าใจ,listener
อยากพูดสิ่งที่อยู่ในใจ,listener
รู้สึกอัดอั้นมาก,listener
อยากระบายความรู้สึก,listener
ขอคนรับฟังเฉยๆก็พอ,listener
ไม่รู้จะเล่าให้ใครฟัง,listener
อยากมีคนฟังโดยไม่ตัดสิน,listener
ช่วยอยู่เป็นเพื่อนหน่อย,listener
อยากมีคนให้กำลังใจ,listener
เหงามาก อยากคุยด้วย,listener
รู้สึกโดดเดี่ยว อยากมีคนฟัง,listener
ขอระบายได้ไหม,listener
อยากมีคนเข้าใจความรู้สึก,listener
ช่วยรับฟังเราหน่อย,listener
รู้สึกแน่นในใจมาก,listener
อยากพูดออกมาบ้าง,listener
มีเรื่องอยากเล่า,listener
ช่วยฟังโดยไม่ด่าได้ไหม,listener
อยากมีใครสักคนอยู่ด้วย,listener
ไม่อยากอยู่คนเดียวตอนนี้,listener
ขอคุยด้วยหน่อยนะ,listener

ช่วยแนะนำหน่อย,advice
ควรทำยังไงดี,advice
ขอคำปรึกษาหน่อย,advice
มีวิธีจัดการไหม,advice
อยากได้คำแนะนำ,advice
ไม่รู้จะแก้ปัญหายังไง,advice
ช่วยบอกทางหน่อย,advice
ควรเริ่มจากตรงไหนดี,advice
มีวิธีรับมือไหม,advice
อยากรู้ว่าควรทำยังไงต่อ,advice
ช่วยคิดหน่อยได้ไหม,advice
ไม่รู้จะตัดสินใจยังไง,advice
ควรพูดกับเขายังไงดี,advice
อยากได้มุมมองอื่น,advice
ช่วยแนะนำเรื่องชีวิตหน่อย,advice
มีวิธีลดความเครียดไหม,advice
ควรหยุดหรือไปต่อดี,advice
มีทางออกไหม,advice
อยากรู้ว่าควรเลือกอะไร,advice
ช่วยบอกทีว่าต้องทำยังไง,advice
อยากจัดการอารมณ์ตัวเอง,advice
มีวิธีนอนหลับง่ายๆไหม,advice
ช่วยแนะนำการรับมือกับความเศร้าหน่อย,advice
ไม่รู้จะเริ่มแก้จากตรงไหน,advice
ช่วยสอนวิธีคิดบวกหน่อย,advice
มีวิธีฮีลใจไหม,advice
อยากได้แนวทางใช้ชีวิต,advice
ช่วยแนะนำวิธีจัดการความคิดหน่อย,advice
มีวิธีทำให้ดีขึ้นไหม,advice
ควรขอความช่วยเหลือจากใครดี,advice

ขอกำลังใจหน่อย,encouragement
เหนื่อยมาก ขอพลังใจหน่อย,encouragement
ช่วยให้กำลังใจหน่อย,encouragement
อยากได้คำปลอบใจ,encouragement
รู้สึกท้อจัง,encouragement
ขอแรงฮึบหน่อย,encouragement
ไม่ไหวแล้ว ขอคำดีๆหน่อย,encouragement
ช่วยบอกว่าเราจะผ่านไปได้ไหม,encouragement
อยากได้กำลังใจตอนนี้มากๆ,encouragement
ช่วยปลอบหน่อยได้ไหม,encouragement
รู้สึกหมดแรงใจ,encouragement
ช่วยพูดอะไรดีๆให้ฟังหน่อย,encouragement
ขอคำพูดฮีลใจหน่อย,encouragement
อยากมีคนบอกว่ายังไหว,encouragement
วันนี้เหนื่อยมากเลย,encouragement
รู้สึกท้อมากๆ,encouragement
ไม่มีแรงสู้ต่อแล้ว,encouragement
ขอกำลังใจในการใช้ชีวิตหน่อย,encouragement
ช่วยบอกว่าเรามีค่าได้ไหม,encouragement
อยากได้คนปลอบใจ,encouragement
ขอคำพูดที่ทำให้รู้สึกดีขึ้นหน่อย,encouragement
รู้สึกแย่มากตอนนี้,encouragement
ช่วยอยู่ข้างๆหน่อย,encouragement
ขอคำพูดอ่อนโยนหน่อย,encouragement
อยากได้พลังบวก,encouragement
วันนี้ใจไม่ค่อยดีเลย,encouragement
ขอคนที่เข้าใจหน่อย,encouragement
รู้สึกเหมือนจะไม่ไหวแล้ว,encouragement
ช่วยบอกว่าเราสำคัญหน่อย,encouragement
อยากได้ความอบอุ่นทางใจ,encouragement

อยากสงบสติอารมณ์,calming
ช่วยให้ใจเย็นหน่อย,calming
ตอนนี้ใจสั่นมาก,calming
ช่วยให้เราสงบหน่อย,calming
กำลังแพนิคอยู่,calming
หายใจไม่ทั่วท้องเลย,calming
รู้สึกควบคุมตัวเองไม่ได้,calming
ช่วยให้ผ่อนคลายหน่อย,calming
