Original Text,True Label,Predicted Label,Confidence Score
โดนแกล้งที่โรงเรียน,social,academic,0.4477312860531658
ต้องประหยัดทุกอย่าง,financial,health,0.2941866816447246
แมวที่บ้านน่ารักมาก,none,family,0.6938029853132115
หนี้,financial,none,0.45294094218865577
กลัวโดนไล่ออก,work,academic,0.25069735087722067
มีปัญหาเรื่องเงินในครอบครัว,family,financial,0.4531355870185291
ทะเลาะกันทุกวัน,relationship,family,0.41691600765449194
รู้สึกแพ้คนอื่นตลอด,self_esteem,social,0.473051874353453
โดนทวงหนี้,financial,work,0.2628595001392066
กินข้าวไม่ลง,health,none,0.5277524310913149
การบ้านกองเต็มไปหมด,academic,work,0.3574095041923745
รู้สึกด้อยกว่าคนอื่น,self_esteem,social,0.42049024137418367
รู้สึกไม่มั่นคงเรื่องงาน,work,self_esteem,0.38051919635438464
เงินเดือนน้อยเกินไป,work,financial,0.6347968602272875
พักผ่อนยังไงก็ไม่ดีขึ้น,health,none,0.2378237173708963
โดนเปรียบเทียบกับคนอื่น,family,social,0.3739280305601788
