text,label
ดีใจมากเลย,happy
วันนี้มีความสุขจัง,happy
ยิ้มไม่หุบเลย,happy
รู้สึกสดใสมาก,happy
มีความสุขกับชีวิต,happy
วันนี้อารมณ์ดีมาก,happy
แฮปปี้สุดๆ,happy
ตื่นมาแล้วรู้สึกดี,happy
ทุกอย่างกำลังไปได้ดี,happy
สบายใจมาก,happy
โล่งใจสุดๆ,happy
ดีใจที่ทำสำเร็จ,happy
รู้สึกภูมิใจในตัวเอง,happy
วันนี้หัวเราะทั้งวัน,happy
มีความสุขเวลาอยู่กับเพื่อน,happy
ฟีลดีมากวันนี้,happy
รู้สึกอบอุ่นใจ,happy
ตื่นเต้นและดีใจ,happy
วันนี้เป็นวันที่ดี,happy
ชีวิตช่วงนี้โอเคมาก,happy
ยิ้มทั้งวันเลย,happy
ใจฟูมาก,happy
รู้สึกโชคดี,happy
มีแรงทำอะไรหลายอย่าง,happy
แค่คิดก็มีความสุข,happy
อารมณ์ดีแบบบอกไม่ถูก,happy
มีความหวังขึ้นมา,happy
กำลังใจเต็มเลย,happy
วันนี้สดชื่นมาก,happy
รู้สึกเป็นตัวเองมากขึ้น,happy
ทุกอย่างดูสดใส,happy
มีความสุขกับเรื่องเล็กๆ,happy
รู้สึกว่าชีวิตมีสีสัน,happy
วันนี้ดีเกินคาด,happy
มีความสุขแบบเรียบง่าย,happy
ใจมันเบาๆ,happy
วันนี้ยิ้มง่ายมาก,happy
รู้สึกดีจนอยากแชร์,happy
มีความสุขจนร้องไห้,happy
เหมือนได้พักใจ,happy
วันนี้โลกดูน่าอยู่,happy
รู้สึกเต็มอิ่มในใจ,happy
กำลังใจกลับมาแล้ว,happy
มีความสุขกับตัวเอง,happy
วันนี้รู้สึกอบอุ่น,happy
หัวใจพองโต,happy
ทุกอย่างกำลังดี,happy
วันนี้รู้สึกดีต่อใจ,happy
เหมือนได้เริ่มใหม่,happy
มีความสุขแบบเงียบๆ,happy

เศร้ามาก,sad
รู้สึกหดหู่,sad
ใจมันหนักๆ,sad
เศร้าจนพูดไม่ออก,sad
ร้องไห้ทั้งคืน,sad
รู้สึกเสียใจมาก,sad
เหมือนโดนทิ้งไว้คนเดียว,sad
วันนี้ใจพัง,sad
ไม่มีแรงยิ้ม,sad
รู้สึกโดดเดี่ยว,sad
ทุกอย่างดูหม่นไปหมด,sad
เสียใจจนจุกอก,sad
ร้องไห้บ่อยมาก,sad
รู้สึกอ่อนแอ,sad
ไม่มีใครเข้าใจ,sad
เศร้าจนกินอะไรไม่ลง,sad
เหมือนโลกมันเงียบเกินไป,sad
ไม่รู้จะระบายกับใคร,sad
ใจมันล้า,sad
วันนี้ไม่โอเคเลย,sad
รู้สึกว่างเปล่า,sad
ไม่อยากพูดกับใคร,sad
เหมือนชีวิตไม่มีสี,sad
เศร้าจนเหนื่อย,sad
น้ำตาไหลเองตลอด,sad
รู้สึกแย่มาก,sad
ไม่มีความสุขเลย,sad
รู้สึกเหมือนตัวเองไร้ค่า,sad
อยากอยู่เงียบๆ,sad
ใจสลาย,sad
