text,label
ช่วยฟังหน่อย,venting
อยากระบาย,venting
ขอระบายหน่อย,venting
เหนื่อยมากขอคุยหน่อย,venting
มีอะไรอยากเล่า,venting
ฟังเราได้ไหม,venting
ขอพื้นที่ระบายหน่อย,venting
รู้สึกอึดอัดมากเลย,venting
อยากบ่นหน่อย,venting
ขอคุยด้วยได้ไหม,venting
ไม่รู้จะเล่าให้ใครฟัง,venting
อยากมีคนรับฟัง,venting
ช่วยอยู่เป็นเพื่อนหน่อย,venting
มีเรื่องในใจเยอะมาก,venting
วันนี้เหนื่อยมากจริงๆ,venting
รู้สึกแย่มากเลยช่วงนี้,venting
อยากเล่าอะไรหน่อย,venting
ขอพูดอะไรหน่อยได้ไหม,venting
ขอคุยหน่อยนะ,venting
เราไม่ไหวแล้วอยากระบาย,venting
มีใครฟังเราอยู่ไหม,venting
ขอเล่าหน่อยได้ไหม,venting
อยากพูดสิ่งที่เก็บไว้,venting
รู้สึกแน่นในใจมาก,venting
อยากบอกความรู้สึกให้ใครสักคนฟัง,venting
วันนี้มีเรื่องหนักใจ,venting
เครียดจนอยากร้องไห้,venting
อยากระบายเรื่องเรียน,venting
อยากระบายเรื่องงาน,venting
ขอระบายเรื่องครอบครัวหน่อย,venting
ขอคำแนะนำหน่อย,ask_advice
ช่วยแนะนำหน่อย,ask_advice
ควรทำยังไงดี,ask_advice
มีวิธีแก้ไหม,ask_advice
ช่วยคิดหน่อย,ask_advice
ไม่รู้จะจัดการยังไง,ask_advice
มีวิธีลดเครียดไหม,ask_advice
ช่วยบอกวิธีหน่อย,ask_advice
ควรเริ่มจากตรงไหนดี,ask_advice
มีคำแนะนำไหม,ask_advice
ทำยังไงให้ดีขึ้น,ask_advice
ช่วยหาทางออกหน่อย,ask_advice
อยากได้วิธีรับมือ,ask_advice
ควรพูดยังไงดี,ask_advice
จะผ่านเรื่องนี้ยังไงดี,ask_advice
มีวิธีทำให้นอนหลับไหม,ask_advice
อยากรู้วิธีจัดการอารมณ์,ask_advice
มีวิธีฮีลใจไหม,ask_advice
ช่วยคิดวิธีแก้ปัญหาหน่อย,ask_advice
ควรตัดสินใจยังไงดี,ask_advice
ช่วยแนะนำเรื่องความสัมพันธ์หน่อย,ask_advice
มีวิธีจัดการความคิดมากไหม,ask_advice
อยากรู้ว่าควรทำยังไงต่อ,ask_advice
ช่วยแนะนำเรื่องเรียนหน่อย,ask_advice
ควรพักหรือฝืนต่อดี,ask_advice
อยากได้วิธีดูแลใจตัวเอง,ask_advice
ช่วยบอกวิธีผ่อนคลายหน่อย,ask_advice
มีเทคนิคหยุดคิดมากไหม,ask_advice
จะรับมือกับความกดดันยังไงดี,ask_advice
ช่วยแนะนำวิธีใช้ชีวิตหน่อย,ask_advice
ทำแบบประเมินได้ไหม,assessment
ขอทำแบบประเมินหน่อย,assessment
อยากประเมินตัวเอง,assessment
มีแบบประเมินไหม,assessment
ช่วยประเมินอาการหน่อย,assessment
อยากเช็กสุขภาพจิต,assessment
ลองประเมินให้หน่อยได้ไหม,assessment
มีแบบทดสอบไหม,assessment
อยากลองทำ 9Q,assessment
ทำ 2Q ได้ไหม,assessment
ช่วยเช็กว่าเราเครียดไหม,assessment
อยากรู้ว่าเป็นซึมเศร้าหรือเปล่า,assessment
มีแบบประเมินความเครียดไหม,assessment
ช่วยเช็กอาการให้หน่อย,assessment
อยากลองตอบคำถามประเมิน,assessment
เริ่มประเมินได้เลย,assessment
ขอแบบประเมินสุขภาพจิต,assessment
อยากรู้ระดับความเครียดตัวเอง,assessment
ช่วยทดสอบหน่อย,assessment
