Original Text,True Label,Predicted Label,Confidence Score
ไม่เห็นคุณค่าของตัวเอง,depression,risk_passive,0.4275000357064923
ไม่อยากเป็นตัวปัญหาของใคร,depression,risk_passive,0.40089183814358453
กำลังจะเข้านอนแล้ว,normal,risk_immediate_danger,0.5019004221816968
ทุกอย่างพร้อมแล้วแค่รอเวลาไม่กี่นาทีนี้,risk_immediate_danger,risk_suicide_plan,0.44701188905455114
ทุกคืนคิดแต่ว่าอยากหายไป,risk_passive,risk_suicidal_ideation,0.6730295483938551
กำลังจะออกไปข้างนอก,normal,risk_immediate_danger,0.5117924674649965
ไม่มีแรงจะเริ่มต้นใหม่,risk_suicidal_ideation,depression,0.5520838808196656
ไม่มีใครเข้าใจสิ่งที่เรารู้สึก,depression,risk_passive,0.4080749691211653
เหมือนมีอะไรทับอยู่ในอก,stress,depression,0.5102229747874539
ใจมันหนักๆบอกไม่ถูก,stress,depression,0.5010014812819554
รู้สึกตัวเองล้มเหลว,depression,risk_self_harm,0.4362630448356957
เมื่อคืนนอนหลับสบายมาก,normal,depression,0.37591150588398603
เหมือนตัวเองไม่มีตัวตน,risk_passive,depression,0.4481382207636194
แค่หายไปก็คงดี,risk_passive,normal,0.31531767661263255
ตั้งใจว่าจะจบมันคืนนี้,risk_suicide_plan,risk_immediate_danger,0.2885779330454489
ใจล้าเกินจะรับอะไรเพิ่มแล้ว,stress,risk_suicide_plan,0.3168802110543636
ไม่เหลือความหวังให้ตัวเองแล้ว,risk_passive,risk_suicidal_ideation,0.4314396275960771
ไม่รู้ว่าอยู่ไปเพื่ออะไร,depression,risk_passive,0.3458075353708179
นี่คงเป็นครั้งสุดท้ายที่คุยกัน,risk_immediate_danger,normal,0.3721738650377274
รู้สึกเหมือนชีวิตกำลังพัง,stress,depression,0.4416916132371764
ไม่เห็นอนาคตของตัวเองเลย,risk_suicidal_ideation,risk_passive,0.3983106920994189
ใจมันล้าเกินไปแล้ว,risk_passive,risk_immediate_danger,0.3638496525196995
อยากหายไป,risk_passive,risk_suicidal_ideation,0.4833905136207342
ไม่มีใครคงเสียใจถ้าเราตาย,risk_suicidal_ideation,risk_passive,0.46872948219811883
ตัดสินใจแล้วว่าจะไม่อยู่ต่อ,risk_suicide_plan,risk_immediate_danger,0.29387405239204384
นี่อาจเป็นข้อความสุดท้าย,risk_immediate_danger,risk_suicide_plan,0.5342617527252796
ทำไมปัญหามันเยอะขนาดนี้,stress,normal,0.4321419060047524
ชีวิตมันหนักเกินรับไหว,risk_suicidal_ideation,risk_passive,0.4343367476165395
เหมือนตัวเองไร้ตัวตน,risk_suicidal_ideation,depression,0.4287305084679784
สมองล้าไปหมดแล้ว,stress,risk_suicide_plan,0.5692955418102483
ข้อความนี้อาจเป็นข้อความสุดท้ายจากเรา,risk_immediate_danger,risk_suicide_plan,0.488439983763429
ไม่อยากทนแล้ว,risk_passive,risk_suicide_plan,0.26220849664379386
ถ้าคืนนี้เป็นคืนสุดท้ายก็คงดี,risk_suicidal_ideation,risk_suicide_plan,0.2382579177459586
ไม่มีใครเปลี่ยนใจเราได้ทัน,risk_immediate_danger,depression,0.35713566280672226
เหนื่อยจนไม่อยากสู้ต่อ,depression,risk_passive,0.3820162116869132
